encoding,metric,ring_minus_disk,null_q025,null_q975,permutation_p_two_sided,null_standardized_difference
J0,purity,-0.006982447393014679,-0.024678408580739705,0.02334500838132231,0.5748502994011976,-0.5553637641817989
J0,mass_gap,-0.09237971905008191,-0.1395076761549093,0.1354037407792921,0.22355289421157684,-1.23280724835303
J0,third_moment,-0.01052069800968658,-0.02965095149840571,0.027614459802181947,0.48303393213572854,-0.6871375408742681
J0,I,0.011577560495511202,-0.023813473561343446,0.024845632735839722,0.3972055888223553,0.8938947037686572
J0,Q,2.1356176692099448e-16,-6.406853007629834e-16,6.406853007629834e-16,0.5848303393213573,0.653028031576335
J0,current,0.0,0.0,0.0,1.0,0.0
J_partial,purity,-0.0022913926603606027,-0.02111533213729788,0.021113429148909686,0.8403193612774451,-0.2070344045975991
J_partial,mass_gap,-0.05997756100383489,-0.1625821291799924,0.15941117447992792,0.4471057884231537,-0.758922873317446
J_partial,third_moment,-0.003851965174198002,-0.028276350891724537,0.02747866390210695,0.8083832335329342,-0.26673807946818967
J_partial,I,0.012037416058312489,-0.05383270702651594,0.05620650561269067,0.6666666666666666,0.41169949113496773
J_partial,Q,0.0016778615936834385,-0.038325808729677266,0.03880236216369119,0.9441117764471058,0.08522567888659567
J_partial,current,-0.0006819891378834556,-0.006702455336180456,0.006216542629496039,0.8582834331337326,-0.21135315279593656
