dataset,encoding,purity,mass_gap,third_moment,I,Q,current,mean_match_max_abs_error,covariance_match_max_abs_error
ring,J0,0.5031784865607472,1.356231735335957,0.3227678242265709,0.09096693142036456,3.203426503814917e-16,0.0,1.4876988529977099e-16,1.9984014443252818e-15
filled_disk,J0,0.5101609339537618,1.4486114543860389,0.3332885222362575,0.07938937092485336,1.0678088346049724e-16,0.0,1.4876988529977099e-16,1.9984014443252818e-15
ring,J_partial,0.6337478216432385,1.998951531112199,0.48655631267239247,0.4724355292926145,0.3877647797140675,0.0377452298611714,1.4876988529977099e-16,1.9984014443252818e-15
filled_disk,J_partial,0.6360392143035991,2.058929092116034,0.49040827784659047,0.460398113234302,0.38608691812038404,0.03842721899905486,1.4876988529977099e-16,1.9984014443252818e-15
